time,avg_low
00:00,81284.668
00:15,81305.77633333333
00:30,81337.65866666666
00:45,81348.80166666667
22:15,81421.95099999999
22:30,81429.83266666667
23:45,81433.49533333333
22:00,81450.18633333333
23:15,81455.21133333333
23:30,81460.44333333333
23:00,81466.30600000001
22:45,81475.30066666666
21:45,81560.03933333333
21:30,81602.95233333333
15:30,81746.00133333333
15:00,81756.341
15:15,81757.92566666666
14:45,81787.57933333333
18:00,81794.93033333334
14:00,81798.58166666668
14:30,81800.31566666668
17:45,81800.31733333334
13:45,81806.16966666667
18:15,81806.30799999999
14:15,81809.135
15:45,81810.15733333334
13:30,81814.83666666667
16:15,81821.45100000002
17:30,81822.54899999998
16:00,81823.89266666667
18:30,81837.794
19:00,81840.83933333334
16:30,81841.31233333334
13:15,81845.96333333333
19:15,81847.13766666666
21:15,81851.128
17:00,81852.41733333333
18:45,81855.10266666667
16:45,81857.35466666667
20:30,81859.12133333334
21:00,81862.827
19:30,81866.34766666667
17:15,81868.4
19:45,81875.04466666667
20:00,81882.56533333333
20:45,81888.03499999999
20:15,81905.17533333333
12:15,81912.42633333334
13:00,81920.66133333332
12:30,81932.636
12:45,81950.71666666666
07:00,81953.87033333333
10:30,81959.658
10:15,81965.07066666667
10:45,81970.92433333333
12:00,81979.74433333334
10:00,81985.19399999999
07:15,81992.662
11:00,82004.18933333334
09:45,82015.057
11:15,82020.45266666666
01:30,82032.35833333334
11:45,82039.50466666667
11:30,82049.17833333333
09:30,82053.082
07:30,82053.698
01:15,82084.04033333334
09:15,82085.594
07:45,82099.24966666667
01:45,82099.70766666667
08:30,82102.52133333334
08:00,82113.85866666665
08:15,82121.93699999999
09:00,82128.263
06:15,82135.496
06:00,82141.47733333333
03:30,82144.60733333333
03:15,82150.01066666665
08:45,82154.12733333332
06:45,82155.24166666667
03:45,82159.691
02:00,82170.39700000001
06:30,82185.336
02:15,82192.79966666667
05:00,82202.04433333334
01:00,82206.89133333335
05:15,82219.60800000001
04:00,82228.84733333332
05:30,82231.402
04:45,82234.80099999999
04:30,82239.95233333333
05:45,82240.71133333333
03:00,82241.22600000001
02:30,82242.75099999999
04:15,82258.35
02:45,82283.99966666667
